"137","Hår I Småland",,,,,"Barnarpsgatan 16",NULL,"Jönköping",,"55316","SE","57.7824763","14.1627077",,,"1426687590","1426687590","3",NULL,,,,,,,
"138","Hår2o",,,"0243-60699",,"Torsång 132 B",NULL,"Borlänge",,"78194","SE","60.4631268","15.5686002",,,"1426687672","1426687672","3",NULL,,,,,,,
"139","Hårateljen",,,"040-451130",,"Falsterbovägen 51",NULL,"Höllviken",,"23651","SE","55.4217448","12.9566879",,,"1426687765","1426687765","3",NULL,,,,,,,
"140","Hårboden",,,,,"Ämbetsgatan 4 B",NULL,"Hedemora",,"77630","SE","60.2784422","15.9863307",,,"1426687837","1426687837","3",NULL,,,,,,,
"141","Hårbolaget",,,,,"Snickarevägen 1B",NULL,"Sollentuna",,"19140","SE","59.4118166","17.9689426",,,"1426687999","1426687999","3",NULL,,,,,,,
"142","*Hårcenter Salong Beau<br><img src=\"http://olaplex.se/salonger/goldmembersign.gif\">",,,"054-560606",,"Frykmans Väg 1",NULL,"Karlstad",,"65346","SE","59.3759473","13.427018",,,"1426688093","1489505245","3",NULL,,,,,,,
"143","Hårcity",,,"0521-66606",,"Residensgatan 13",NULL,"Vänersborg",,"46233","SE","58.3806869","12.3216111",,,"1426688178","1426688178","3",NULL,,,,,,,
"144","Hårdesign",,,"0532-71184",,"Kungsgatan 8",NULL,"Åmål",,"66231","SE","59.0531179","12.7037525",,,"1426688252","1426688252","3",NULL,,,,,,,
"145","Hårdesign by Anna",,,"036-100080",,"Kanalgatan 17",NULL,"Jönköping",,"55322","SE","57.7812047","14.1804908",,,"1426688424","1430290388","3",NULL,,,,,,,
"146","Hårdesign Linda Norberg",,,"033-285900",,"Göteborgsvägen 21",NULL,"Bollebygd",,"51736","SE","57.6687026","12.5713307",,,"1426688511","1427102693","3",NULL,,,,,,,
"147","Hårdesign ",,,"023-23455",,"Slaggatan 6 C",NULL,"Falun",,"79171","SE","60.6084057","15.6284349",,,"1426688591","1426688591","3",NULL,,,,,,,
"148","Hårfixarna",,,"033-123535",,"Vindelgatan 37",NULL,"Borås",,"50465","SE","57.7216149","12.9102963",,,"1426689164","1426689164","3",NULL,,,,,,,
